Hero,Degree,Betweenness,Closeness,PageRank,Community,Role
SASQUATCH/WALTER LAN,0.07143968871595331,0.0027351445583656212,0.5038683302851391,0.0010475397128000118,8,Other
"HARKNESS, AGATHA",0.05525291828793775,0.0006438674466613175,0.4920710434392763,0.0008142743644928821,8,Other
THANOS DOPPELGANGER,0.024591439688715955,1.551645037468348e-05,0.4734032623010939,0.000343808658469763,8,Other
MAGUS,0.030817120622568094,4.60778683985721e-05,0.4773647958768353,0.00042951000763721765,8,Other
LIVING TRIBUNAL,0.028638132295719848,0.00013375361730854046,0.4776503011375272,0.0004162062695525636,8,Other
TRIAX,0.0017120622568093386,9.060624342468762e-07,0.36790570240789844,4.847340710482331e-05,8,Other
INFINITY THRALL,0.0010894941634241246,0.0,0.33995160306563604,3.8938729053659815e-05,8,Other
HIGH EVOLUTIONARY/HE,0.051984435797665374,0.003942034140808065,0.4888332385627822,0.0007824766057811507,6,Other
NOBILUS,0.008715953307392997,8.362521136836134e-06,0.38409585355389947,0.00014553463169508963,6,Other
LOVE,0.00840466926070039,1.621464728141833e-05,0.4458202796745212,0.00014282127219710872,8,Other
HATE,0.00840466926070039,1.621464728141833e-05,0.4458202796745212,0.00014282127219710872,8,Other
"WALSH, LYNN",0.0028015564202334632,1.063631801690992e-06,0.37845340765404356,6.944620509194741e-05,5,Other
"URICH, DORIS",0.007937743190661479,6.18968727328244e-05,0.4039867485308608,0.0001881884191091462,21,Other
SUNDRAGON/PAMELA DOU,0.0014007782101167316,1.564557243155248e-08,0.36714460567840274,4.263947291280544e-05,0,Other
"FRIEDLANDER, SHARON",0.019610894941634243,3.7915943736370686e-05,0.4230879033186917,0.00028199397560835107,4,Other
"MACTAGGERT, MOIRA KI",0.0703501945525292,0.0027388587666444587,0.48965745156465085,0.0010755980220794367,4,Other
SPIDER-MAN III/MARTH,0.009961089494163425,0.0004785614917462721,0.4189541264272501,0.00026161579949721434,21,Other
RANGER I/,0.002957198443579767,1.3497841145715145e-07,0.3686486889397937,7.220507158464747e-05,21,Other
"HARGROVE, ELIAS",0.002334630350194553,2.555611960034093e-08,0.36971531902179067,6.292888233986039e-05,21,Other
HOBGOBLIN V/JASON PH,0.02972762645914397,0.0007607440823365182,0.4458825059680064,0.0005606436273432021,21,Other
ELECTRO/MAX DILLON,0.04373540856031129,0.0009710776593864897,0.4855639480175987,0.0006883556984434977,21,Other
